text,category
Slow internet speed in Business Block computer lab,wifi
General service request from Sports Complex,other
No network connectivity in Block D hostel room,wifi
Water is leaking from the ceiling in Medical Center,plumbing
WiFi is not working in Hostel 1,wifi
Light is not working in Workshop,electrical
CCTV not working at Student Center,safety
Short circuit smell near Parking Area,electrical
Emergency exit blocked near Administrative Block,safety
Toilet is not flushing in Parking Area,plumbing
Main switch issue reported at Main Building,electrical
CCTV not working at Reading Room,safety
Laundry service delay at Block D,hostel
Electrical spark seen near Parking Area,electrical
Power outage in Laboratory,electrical
Main switch issue reported at Business Block,electrical
Parking issue near Student Center,other
General maintenance request for Workshop,other
Washroom flooding in Block C area,plumbing
Laundry service delay at Block B,hostel
No network connectivity in Block C hostel room,wifi
Campus signage missing near Main Building,other
No network connectivity in Lecture Hall 2 hostel room,wifi
Furniture arrangement problem in Sports Complex,other
Room maintenance issue reported in Block B,hostel
Poor lighting and unsafe path near Administrative Block,safety
No network connectivity in Block C hostel room,wifi
No water supply in Computer Lab hostel block,plumbing
Notice board is outdated at Boys Hostel,other
Main switch issue reported at Business Block,electrical
Router issue near Library with no internet access,wifi
No network connectivity in Reading Room hostel room,wifi
Toilet is not flushing in Science Block,plumbing
Socket is damaged near Hostel 2,electrical
Power outage in Laboratory,electrical
No network connectivity in Lecture Hall 1 hostel room,wifi
Campus signage missing near Reading Room,other
Mess food quality problem at Auditorium,hostel
General service request from Block B,other
Library book request issue from Computer Lab,other
Light is not working in Science Block,electrical
WiFi is not working in Hostel 1,wifi
Students are ragging and beating a junior in Block D,safety
Library book request issue from Student Center,other
No water supply in Block A hostel block,plumbing
The campus WiFi keeps disconnecting in Medical Center,wifi
Room maintenance issue reported in Engineering Block,hostel
Furniture damaged in Lecture Hall 1 hostel room,hostel
Room maintenance issue reported in Auditorium,hostel
Pest problem found in Lecture Hall 1 room,hostel
Parking issue near Main Building,other
Poor lighting and unsafe path near Science Block,safety
Power outage in Auditorium,electrical
Hostel room cleanliness issue in Lecture Hall 2,hostel
Power outage in Hostel 1,electrical
Physical assault and bullying incident reported in Reading Room,safety
Pipe burst near Sports Complex building,plumbing
Laundry service delay at Block A,hostel
No water supply in Business Block hostel block,plumbing
Unable to connect to campus internet in Reading Room,wifi
Tap is broken in Parking Area corridor,plumbing
Water leakage in Workshop washroom,plumbing
No network connectivity in Auditorium hostel room,wifi
Internet connection is unstable in Hostel 1,wifi
WiFi is not working in Science Block,wifi
Parking issue near Lecture Hall 1,other
Canal or drainage complaint around Engineering Block,other
Unable to connect to campus internet in Main Building,wifi
Students fighting and harassing others in Main Building washroom,safety
Furniture arrangement problem in Lecture Hall 2,other
Physical assault and bullying incident reported in Boys Hostel,safety
Library book request issue from Hostel 2,other
Washroom flooding in Reading Room area,plumbing
Physical assault and bullying incident reported in Auditorium,safety
Mess food quality problem at Computer Lab,hostel
Parking issue near Reading Room,other
Fire extinguisher missing in Student Center block,safety
Power outage in Parking Area,electrical
Canal or drainage complaint around Medical Center,other
Unsafe wiring exposed near Block C,safety
Furniture arrangement problem in Lecture Hall 2,other
Canal or drainage complaint around Block D,other
Unsafe wiring exposed near Student Center,safety
Water leakage in Student Center washroom,plumbing
Light is not working in Auditorium,electrical
Short circuit smell near Student Center,electrical
Toilet is not flushing in Lecture Hall 2,plumbing
Physical assault and bullying incident reported in Girls Hostel,safety
Tap is broken in Engineering Block corridor,plumbing
Power outage in Main Building,electrical
Pipe burst near Student Center building,plumbing
General service request from Parking Area,other
Toilet is not flushing in Lecture Hall 2,plumbing
Short circuit smell near Lecture Hall 1,electrical
Washroom flooding in Medical Center area,plumbing
General maintenance request for Business Block,other
Toilet is not flushing in Engineering Block,plumbing
Security concern reported near Hostel 1,safety
Internet connection is unstable in Lecture Hall 1,wifi
Slow internet speed in Administrative Block computer lab,wifi
Parking issue near Student Center,other
Mess food quality problem at Hostel 1,hostel
Unable to connect to campus internet in Science Block,wifi
Tap is broken in Boys Hostel corridor,plumbing
Light is not working in Library,electrical
Mess food quality problem at Parking Area,hostel
Main switch issue reported at Sports Complex,electrical
Laundry service delay at Student Center,hostel
Library book request issue from Lecture Hall 2,other
Unable to connect to campus internet in Medical Center,wifi
Toilet is not flushing in Girls Hostel,plumbing
Campus signage missing near Girls Hostel,other
Campus signage missing near Block D,other
Emergency exit blocked near Lecture Hall 1,safety
Hostel room cleanliness issue in Business Block,hostel
General service request from Administrative Block,other
No water supply in Business Block hostel block,plumbing
Internet connection is unstable in Block B,wifi
Light is not working in Student Center,electrical
Physical assault and bullying incident reported in Auditorium,safety
Short circuit smell near Block A,electrical
Pest problem found in Reading Room room,hostel
Security guard missing at Boys Hostel gate,safety
Students fighting and harassing others in Block C washroom,safety
Short circuit smell near Laboratory,electrical
Internet connection is unstable in Engineering Block,wifi
Hostel gate closes too early at Hostel 2,hostel
General service request from Business Block,other
Library book request issue from Block A,other
Short circuit smell near Medical Center,electrical
WiFi is not working in Block D,wifi
Ragging incident near Reading Room hostel block,safety
Water leakage in Girls Hostel washroom,plumbing
Socket is damaged near Science Block,electrical
Laundry service delay at Block C,hostel
Noise disturbance in Science Block hostel at night,hostel
Laundry service delay at Girls Hostel,hostel
Parking issue near Medical Center,other
Mess food quality problem at Computer Lab,hostel
WiFi is not working in Block C,wifi
Unable to connect to campus internet in Medical Center,wifi
General service request from Computer Lab,other
Students fighting and harassing others in Workshop washroom,safety
Laundry service delay at Student Center,hostel
Unsafe wiring exposed near Boys Hostel,safety
Washroom flooding in Auditorium area,plumbing
Unable to connect to campus internet in Main Building,wifi
Noise disturbance in Hostel 2 hostel at night,hostel
Physical assault and bullying incident reported in Parking Area,safety
Poor lighting and unsafe path near Girls Hostel,safety
WiFi signal is weak near Laboratory,wifi
Broken staircase railing near Main Building,safety
General service request from Canteen,other
The campus WiFi keeps disconnecting in Administrative Block,wifi
Canal or drainage complaint around Sports Complex,other
Hostel gate closes too early at Auditorium,hostel
AC is not cooling in Workshop,electrical
Canal or drainage complaint around Library,other
Tap is broken in Laboratory corridor,plumbing
Main switch issue reported at Laboratory,electrical
Washroom flooding in Library area,plumbing
WiFi signal is weak near Parking Area,wifi
WiFi is not working in Medical Center,wifi
General service request from Business Block,other
AC is not cooling in Auditorium,electrical
Unable to connect to campus internet in Reading Room,wifi
Socket is damaged near Computer Lab,electrical
Washroom flooding in Computer Lab area,plumbing
Pest problem found in Hostel 1 room,hostel
Noise disturbance in Laboratory hostel at night,hostel
Washroom flooding in Library area,plumbing
Noise disturbance in Block C hostel at night,hostel
Mess food quality problem at Boys Hostel,hostel
Pipe burst near Parking Area building,plumbing
Electrical spark seen near Lecture Hall 2,electrical
Router issue near Hostel 1 with no internet access,wifi
Main switch issue reported at Block D,electrical
Main switch issue reported at Medical Center,electrical
Physical assault and bullying incident reported in Laboratory,safety
Ragging incident near Computer Lab hostel block,safety
Mess food quality problem at Boys Hostel,hostel
Main switch issue reported at Lecture Hall 1,electrical
Power outage in Engineering Block,electrical
Furniture arrangement problem in Lecture Hall 1,other
No water supply in Hostel 2 hostel block,plumbing
Water leakage in Sports Complex washroom,plumbing
Students fighting and harassing others in Science Block washroom,safety
Poor lighting and unsafe path near Laboratory,safety
Water is leaking from the ceiling in Reading Room,plumbing
Security concern reported near Reading Room,safety
Fan stopped working in Business Block room,electrical
Parking issue near Block C,other
Pipe burst near Business Block building,plumbing
Washroom flooding in Sports Complex area,plumbing
WiFi signal is weak near Boys Hostel,wifi
No water supply in Hostel 2 hostel block,plumbing
Water is leaking from the ceiling in Library,plumbing
Pipe burst near Workshop building,plumbing
Unsafe wiring exposed near Canteen,safety
Hostel room cleanliness issue in Lecture Hall 2,hostel
Tap is broken in Medical Center corridor,plumbing
Physical assault and bullying incident reported in Workshop,safety
Internet connection is unstable in Lecture Hall 2,wifi
Mess food quality problem at Science Block,hostel
Parking issue near Block D,other
Notice board is outdated at Block A,other
Canal or drainage complaint around Lecture Hall 2,other
Noise disturbance in Block C hostel at night,hostel
The campus WiFi keeps disconnecting in Hostel 2,wifi
AC is not cooling in Parking Area,electrical
Fan stopped working in Parking Area room,electrical
Students are ragging and beating a junior in Block D,safety
Security concern reported near Block B,safety
General maintenance request for Boys Hostel,other
No water supply in Engineering Block hostel block,plumbing
Poor lighting and unsafe path near Sports Complex,safety
Main switch issue reported at Hostel 2,electrical
Security concern reported near Lecture Hall 1,safety
Hostel room cleanliness issue in Girls Hostel,hostel
Fire extinguisher missing in Engineering Block block,safety
Canal or drainage complaint around Engineering Block,other
Noise disturbance in Engineering Block hostel at night,hostel
Pest problem found in Block C room,hostel
Unable to connect to campus internet in Administrative Block,wifi
General service request from Hostel 2,other
Parking issue near Girls Hostel,other
Mess food quality problem at Parking Area,hostel
Short circuit smell near Medical Center,electrical
Noise disturbance in Block D hostel at night,hostel
Water is leaking from the ceiling in Student Center,plumbing
Campus signage missing near Block B,other
Furniture damaged in Parking Area hostel room,hostel
Router issue near Workshop with no internet access,wifi
Notice board is outdated at Sports Complex,other
General service request from Block A,other
Hostel room cleanliness issue in Girls Hostel,hostel
Light is not working in Student Center,electrical
Main switch issue reported at Hostel 2,electrical
Students fighting and harassing others in Business Block washroom,safety
WiFi is not working in Reading Room,wifi
Unsafe wiring exposed near Sports Complex,safety
Hostel gate closes too early at Hostel 2,hostel
Unsafe wiring exposed near Lecture Hall 2,safety
Students fighting and harassing others in Parking Area washroom,safety
Hostel room cleanliness issue in Lecture Hall 1,hostel
WiFi is not working in Block D,wifi
Washroom flooding in Lecture Hall 2 area,plumbing
Bathroom drain is blocked in Student Center,plumbing
Students are ragging and beating a junior in Block B,safety
CCTV not working at Block B,safety
Power outage in Lecture Hall 2,electrical
WiFi is not working in Lecture Hall 1,wifi
Physical assault and bullying incident reported in Auditorium,safety
Bathroom drain is blocked in Engineering Block,plumbing
Students are ragging and beating a junior in Sports Complex,safety
Notice board is outdated at Hostel 2,other
Tap is broken in Hostel 2 corridor,plumbing
Furniture damaged in Science Block hostel room,hostel
Pest problem found in Computer Lab room,hostel
Ragging incident near Auditorium hostel block,safety
AC is not cooling in Hostel 1,electrical
Students are ragging and beating a junior in Computer Lab,safety
Slow internet speed in Science Block computer lab,wifi
Pipe burst near Student Center building,plumbing
Noise disturbance in Hostel 2 hostel at night,hostel
Water is leaking from the ceiling in Engineering Block,plumbing
Short circuit smell near Business Block,electrical
Electrical spark seen near Library,electrical
Router issue near Engineering Block with no internet access,wifi
Bathroom drain is blocked in Workshop,plumbing
No network connectivity in Workshop hostel room,wifi
General service request from Engineering Block,other
Pest problem found in Workshop room,hostel
WiFi signal is weak near Hostel 2,wifi
Room maintenance issue reported in Business Block,hostel
General maintenance request for Parking Area,other
Unable to connect to campus internet in Administrative Block,wifi
No water supply in Hostel 2 hostel block,plumbing
Toilet is not flushing in Canteen,plumbing
Furniture arrangement problem in Hostel 1,other
Light is not working in Library,electrical
Room maintenance issue reported in Workshop,hostel
Security guard missing at Sports Complex gate,safety
Water leakage in Block D washroom,plumbing
Tap is broken in Medical Center corridor,plumbing
Router issue near Engineering Block with no internet access,wifi
Emergency exit blocked near Business Block,safety
AC is not cooling in Student Center,electrical
Mess food quality problem at Block B,hostel
Tap is broken in Block A corridor,plumbing
Emergency exit blocked near Sports Complex,safety
Hostel gate closes too early at Main Building,hostel
Main switch issue reported at Girls Hostel,electrical
Noise disturbance in Block C hostel at night,hostel
Short circuit smell near Boys Hostel,electrical
Emergency exit blocked near Administrative Block,safety
WiFi is not working in Science Block,wifi
Room maintenance issue reported in Hostel 1,hostel
Bathroom drain is blocked in Block B,plumbing
Internet connection is unstable in Block B,wifi
General service request from Hostel 1,other
Power outage in Business Block,electrical
General maintenance request for Block D,other
Water is leaking from the ceiling in Canteen,plumbing
Fire extinguisher missing in Block C block,safety
Water is leaking from the ceiling in Computer Lab,plumbing
Physical assault and bullying incident reported in Parking Area,safety
Room maintenance issue reported in Computer Lab,hostel
Notice board is outdated at Administrative Block,other
Short circuit smell near Hostel 1,electrical
Socket is damaged near Girls Hostel,electrical
Power outage in Student Center,electrical
Short circuit smell near Hostel 2,electrical
Power outage in Block C,electrical
Socket is damaged near Library,electrical
Slow internet speed in Reading Room computer lab,wifi
Washroom flooding in Hostel 2 area,plumbing
Short circuit smell near Block C,electrical
Water is leaking from the ceiling in Medical Center,plumbing
Parking issue near Lecture Hall 2,other
CCTV not working at Reading Room,safety
WiFi is not working in Engineering Block,wifi
Unable to connect to campus internet in Block C,wifi
Furniture damaged in Engineering Block hostel room,hostel
WiFi signal is weak near Lecture Hall 2,wifi
Water is leaking from the ceiling in Block C,plumbing
Main switch issue reported at Business Block,electrical
No network connectivity in Student Center hostel room,wifi
Slow internet speed in Laboratory computer lab,wifi
General maintenance request for Business Block,other
Noise disturbance in Library hostel at night,hostel
Internet connection is unstable in Engineering Block,wifi
Water is leaking from the ceiling in Block C,plumbing
Short circuit smell near Business Block,electrical
Slow internet speed in Reading Room computer lab,wifi
Parking issue near Parking Area,other
Light is not working in Boys Hostel,electrical
Furniture arrangement problem in Girls Hostel,other
WiFi signal is weak near Sports Complex,wifi
CCTV not working at Girls Hostel,safety
Electrical spark seen near Engineering Block,electrical
Notice board is outdated at Reading Room,other
Fan stopped working in Laboratory room,electrical
WiFi signal is weak near Block B,wifi
Main switch issue reported at Block C,electrical
Router issue near Science Block with no internet access,wifi
Light is not working in Hostel 1,electrical
Electrical spark seen near Block D,electrical
Unable to connect to campus internet in Medical Center,wifi
General maintenance request for Hostel 1,other
General maintenance request for Hostel 1,other
Tap is broken in Reading Room corridor,plumbing
WiFi is not working in Engineering Block,wifi
Fire extinguisher missing in Medical Center block,safety
Main switch issue reported at Medical Center,electrical
Poor lighting and unsafe path near Computer Lab,safety
Slow internet speed in Main Building computer lab,wifi
Internet connection is unstable in Lecture Hall 1,wifi
Hostel gate closes too early at Lecture Hall 2,hostel
Fire extinguisher missing in Girls Hostel block,safety
Toilet is not flushing in Laboratory,plumbing
Electrical spark seen near Science Block,electrical
Hostel gate closes too early at Business Block,hostel
Security guard missing at Laboratory gate,safety
WiFi signal is weak near Canteen,wifi
Noise disturbance in Computer Lab hostel at night,hostel
General maintenance request for Main Building,other
Electrical spark seen near Library,electrical
Furniture damaged in Block A hostel room,hostel
Emergency exit blocked near Hostel 1,safety
Canal or drainage complaint around Girls Hostel,other
The campus WiFi keeps disconnecting in Medical Center,wifi
Hostel gate closes too early at Block D,hostel
Mess food quality problem at Sports Complex,hostel
Tap is broken in Reading Room corridor,plumbing
Bathroom drain is blocked in Sports Complex,plumbing
Room maintenance issue reported in Block C,hostel
